,year,circuit_name,final,driver_name,cumulative_min_silver
6828,1950,Silverstone Circuit,8003,Nino Farina,8003
6872,1956,Silverstone Circuit,10787,Juan Fangio,8003
6867,1958,Silverstone Circuit,7744,Peter Collins,7744
7219,1960,Silverstone Circuit,7464,Jack Brabham,7464
7411,1963,Silverstone Circuit,8049,Jim Clark,7464
7412,1965,Silverstone Circuit,7525,Jim Clark,7464
7413,1967,Silverstone Circuit,7165,Jim Clark,7165
7326,1969,Silverstone Circuit,6955,Jackie Stewart,6955
7327,1971,Silverstone Circuit,5491,Jackie Stewart,5491
7529,1973,Silverstone Circuit,5358,Peter Revson,5358
7418,1975,Silverstone Circuit,4925,Emerson Fittipaldi,4925
7635,1977,Silverstone Circuit,5506,James Hunt,4925
6926,1979,Silverstone Circuit,5171,Clay Regazzoni,4925
7438,1981,Silverstone Circuit,5214,John Watson,4925
7009,1983,Silverstone Circuit,5079,Alain Prost,4925
7003,1985,Silverstone Circuit,4690,Alain Prost,4690
6997,1987,Silverstone Circuit,4751,Nigel Mansell,4690
7460,1988,Silverstone Circuit,5596,Ayrton Senna,4690
7006,1989,Silverstone Circuit,4762,Alain Prost,4690
7001,1990,Silverstone Circuit,4710,Alain Prost,4690
6999,1991,Silverstone Circuit,5255,Nigel Mansell,4690
7000,1992,Silverstone Circuit,5142,Nigel Mansell,4690
7007,1993,Silverstone Circuit,5138,Alain Prost,4690
7575,1994,Silverstone Circuit,5403,Damon Hill,4690
7485,1995,Silverstone Circuit,5675,Johnny Herbert,4690
7791,1996,Silverstone Circuit,5580,Jacques Villeneuve,4690
7792,1997,Silverstone Circuit,5281,Jacques Villeneuve,4690
7047,1998,Silverstone Circuit,6422,Michael Schumacher,4690
7651,1999,Silverstone Circuit,5550,David Coulthard,4690
7652,2000,Silverstone Circuit,5330,David Coulthard,4690
7509,2001,Silverstone Circuit,5133,Mika Häkkinen,4690
7051,2002,Silverstone Circuit,5505,Michael Schumacher,4690
7072,2003,Silverstone Circuit,5317,Rubens Barrichello,4690
7053,2004,Silverstone Circuit,5082,Michael Schumacher,4690
7669,2005,Silverstone Circuit,5069,Juan Pablo Montoya,4690
7151,2006,Silverstone Circuit,5151,Fernando Alonso,4690
7103,2007,Silverstone Circuit,4903,Kimi Räikkönen,4690
7394,2008,Silverstone Circuit,5949,Lewis Hamilton,4690
7160,2009,Silverstone Circuit,4969,Sebastian Vettel,4690
7844,2010,Silverstone Circuit,5078,Mark Webber,4690
7139,2011,Silverstone Circuit,5321,Fernando Alonso,4690
7846,2012,Silverstone Circuit,5111,Mark Webber,4690
7378,2013,Silverstone Circuit,5579,Nico Rosberg,4690
7387,2014,Silverstone Circuit,8812,Lewis Hamilton,4690
7388,2015,Silverstone Circuit,5487,Lewis Hamilton,4690
7389,2016,Silverstone Circuit,5695,Lewis Hamilton,4690
7390,2017,Silverstone Circuit,4887,Lewis Hamilton,4690
7158,2018,Silverstone Circuit,5249,Sebastian Vettel,4690
7392,2019,Silverstone Circuit,4868,Lewis Hamilton,4690
